# Example dataset from Ambient Noise Rayleigh
# 
# Periods: 6.5
# lat1 lon1 lat2 lon2 ttime
45.036052 14.154870 45.531100 14.810100 24.900137
50.415000 12.461000 49.196680 7.978080 116.700653
50.156000 5.228000 48.347749 9.831130 129.377316
47.037800 11.709000 47.246936 6.256064 137.570520
43.951000 6.045000 44.815170 6.112330 31.629675
49.988300 14.541700 49.112131 11.676733 68.932336
48.832627 7.363752 45.238000 8.288500 138.884822
43.255000 12.940570 46.678000 15.032700 152.802173
46.413636 10.023095 50.541000 7.076000 168.334473
46.083500 10.958700 49.590100 9.182400 136.589636
49.398020 9.483340 49.344669 9.974411 11.391382
47.679900 10.107100 48.715571 17.104104 196.556029
43.523580 11.245790 42.232600 8.793700 89.101634
47.220500 11.208700 50.352000 12.137000 119.506571
49.398020 9.483340 48.306700 11.923300 70.540158
45.646800 11.072100 50.789821 12.080908 191.579822
49.991600 13.233100 48.537900 12.945500 51.500464
42.298000 9.153000 43.120987 10.573185 54.715768
47.220500 11.208700 46.495200 11.318500 26.390904
47.302670 7.086450 44.767920 9.447820 131.002014
49.837502 18.147200 48.494000 18.836100 57.115339
46.083500 10.958700 48.118237 8.550189 98.303001
47.764500 8.492360 45.128600 16.266400 222.155028
46.957200 4.743200 42.758900 1.188400 176.429212
46.173300 13.645000 47.479741 13.125997 49.628335
47.302670 7.086450 43.547900 7.131200 136.440972
45.942700 5.074700 44.893900 9.909800 168.545701
42.903100 2.106400 43.937700 5.106400 93.954624
47.263800 11.636300 45.867200 15.627500 112.443315
42.236960 12.509930 47.520740 14.416480 235.896714
50.528200 14.569000 46.101600 14.701400 159.069467
47.335780 7.694980 46.780500 9.879520 59.557305
46.476160 10.372180 47.070347 10.264323 22.256157
46.363350 7.299300 45.880800 11.188400 98.017528
46.049780 3.131700 46.560400 3.932900 27.184735
45.036880 6.400998 44.226660 7.420330 39.105732
50.646100 11.616100 49.365500 17.827800 149.763284
44.763740 10.313110 46.549100 13.148100 116.565342
47.928200 15.858800 49.007100 10.038400 143.205902
42.428280 11.130900 45.867695 8.770000 169.255667
46.345900 4.752200 45.987500 13.633700 226.565490
50.646100 11.616100 47.680700 16.556700 157.647078
50.556500 16.215600 43.865157 19.406053 282.103175
44.835170 7.263330 42.849060 11.909670 155.970082
42.236960 12.509930 47.104200 5.810400 298.686506
46.239620 8.019580 44.370100 6.073300 84.220843
47.335780 7.694980 45.064800 5.802000 99.909367
44.815170 6.112330 50.967570 12.576250 273.114116
49.061900 16.395200 49.144800 12.880300 79.872986
42.298000 9.153000 48.753388 9.721937 259.207396
47.268300 3.858900 43.975200 2.719300 121.316116
49.986198 12.108300 48.163900 11.276800 69.017082
42.833550 13.114270 45.509000 16.050700 144.733877
48.933370 14.993640 45.128600 16.266400 144.172837
47.910835 11.221278 45.867695 8.770000 101.526799
44.767920 9.447820 47.070347 10.264323 104.249910
45.613500 16.754400 47.849500 14.265900 104.196044
44.026000 10.482100 43.042600 12.658700 73.799701
50.646100 11.616100 50.537470 11.212300 9.159419
49.086746 11.526272 47.250500 15.523200 121.174192
46.210060 7.596780 45.472300 2.972200 119.387878
50.156000 5.228000 50.818770 10.000980 114.242196
47.737167 12.795714 48.031229 10.232890 75.115044
47.335780 7.694980 47.369210 8.580880 21.828174
46.759014 5.922489 47.104200 5.810400 13.142177
45.769720 9.716000 50.537470 11.212300 181.166443
49.308400 16.593300 46.350100 20.725800 173.087889
46.756810 8.151170 48.292800 12.975000 142.263325
42.746577 10.210652 45.052000 6.678000 139.710007
45.308200 11.172400 47.464200 11.918800 75.060156
47.395000 7.231300 47.603986 15.585996 222.604963
46.620220 10.263520 47.098350 8.925220 38.646008
47.246936 6.256064 48.306700 11.923300 147.207156
49.837502 18.147200 47.283420 16.705560 106.957457
44.607100 9.292600 45.637800 11.209900 82.710522
48.347749 9.831130 48.715571 17.104104 189.290354
47.049210 9.380760 47.378903 12.308427 75.864697
48.331100 8.330300 45.601900 7.568200 99.907970
46.596580 12.780400 46.547900 13.514900 18.099379
47.263800 11.636300 48.118225 8.550189 85.862145
45.826000 15.456900 47.603986 15.585996 65.867934
48.162904 11.275065 47.378903 12.308427 42.526842
46.578146 8.318864 45.208650 6.683080 66.587530
46.448100 16.250400 50.652605 9.909901 217.526128
42.429700 19.260800 46.232900 12.047200 235.801647
45.148170 7.265330 45.472300 2.972200 111.338845
48.336400 -3.273600 48.140039 9.199346 300.776001
48.890174 11.585822 48.019394 10.199769 45.953323
48.716246 15.528793 47.552300 11.436100 116.289131
47.414650 8.907530 48.336400 -3.273600 295.425087
49.145020 12.875710 48.118237 8.550189 108.422801
47.037800 11.709000 48.140039 9.199346 76.635206
44.055800 7.236600 43.436280 12.782250 161.513431
43.752800 6.921800 44.506800 7.116000 27.890425
48.867567 11.375543 46.424450 17.795380 188.708276
50.363500 12.331600 49.273972 9.052361 84.652532
48.864000 14.284500 48.363600 10.402100 93.965753
46.319500 13.098400 46.910200 3.498400 242.994213
45.618300 10.524300 47.683600 11.003200 77.703877
48.140039 9.199346 48.653870 8.494100 26.446874
42.560200 2.417100 43.988000 5.767500 116.580454
49.152100 17.092000 48.015155 18.352506 61.487048
49.655208 11.359444 48.890174 11.585822 27.756404
47.476120 7.920930 43.120987 10.573185 201.498260
44.850137 5.096536 49.044090 9.568390 194.712770
44.920830 6.790830 46.560400 3.932900 94.906245
43.036500 13.087300 43.721930 10.524950 78.644141
48.771900 9.195000 48.004400 6.347000 72.515982
47.764500 8.492360 46.744400 18.965400 270.818029
44.481800 16.531300 49.044090 9.568390 247.017158
48.347749 9.831130 49.545960 8.729640 50.151320
44.835170 7.263330 44.763740 10.313110 94.028281
48.163900 11.276800 45.992200 12.105100 88.255412
44.920830 6.790830 42.232600 8.793700 128.583852
43.648600 12.238600 48.833100 12.642100 238.592955
42.535780 13.409000 45.292600 13.816700 118.974440
46.957200 4.743200 44.734300 3.339800 87.285603
47.683600 11.003200 46.624600 11.880500 47.405708
47.037800 11.709000 45.803300 14.839300 90.893772
45.880800 11.188400 44.481800 16.531300 159.286567
47.677545 16.090361 47.683600 11.003200 148.764525
45.934800 14.443400 47.378903 12.308427 74.804030
45.867200 15.627500 46.946310 18.482030 85.320335
43.986000 7.553200 43.197900 12.353600 144.697477
45.527800 14.380700 48.301372 14.649613 102.524778
50.762650 10.677133 47.833300 10.623400 106.219296
49.343542 11.805983 48.827700 5.922540 142.069368
46.547900 13.514900 49.349000 12.383200 107.070338
44.835170 7.263330 43.241300 5.609900 75.033751
48.019394 10.199769 48.989350 8.492140 54.030427
44.368900 4.156300 43.896000 7.153000 93.403147
47.962876 16.397063 46.525610 18.264720 76.527417
46.815900 14.007370 48.292800 12.975000 62.500522
42.484500 2.882200 45.254500 7.613300 190.265524
44.491300 10.065800 44.159400 10.386400 15.167381
48.062785 9.710348 46.864190 16.527610 180.185284
45.546400 14.014300 46.946310 18.482030 125.846250
46.470300 16.775500 47.638560 18.382360 59.943373
48.867567 11.375543 49.590100 9.182400 57.555559
50.592270 11.472230 45.313467 10.662822 197.034273
49.468937 11.560846 47.390759 16.007693 131.837475
48.162904 11.275065 48.063503 15.406258 105.124272
47.587720 8.254740 50.541000 7.076000 111.382640
47.049210 9.380760 49.116000 11.021600 87.340507
46.442800 13.565000 45.504300 15.251800 55.347386
46.560400 3.932900 43.692700 4.188500 102.739772
47.049210 9.380760 46.200800 4.112500 140.792796
45.064800 5.802000 48.933370 14.993640 272.655862
49.112131 11.676733 49.852800 16.145700 103.658083
46.759014 5.922489 47.378903 12.308427 165.853910
46.871900 8.426100 48.579900 7.763300 66.097245
44.350850 10.976500 47.406962 10.293358 142.590011
42.953000 9.363000 45.637800 11.209900 128.779769
45.308200 11.172400 46.981600 4.147980 190.745672
49.270500 14.073900 48.244305 17.789761 107.909295
46.009000 12.437900 47.827700 13.561200 75.026882
42.535780 13.409000 44.918300 5.880000 228.434046
46.472230 9.347320 46.228100 13.736800 112.411277
45.688207 6.624517 44.920830 6.790830 28.258294
48.652545 7.783737 50.541000 7.076000 71.081200
48.867567 11.375543 45.880800 11.188400 112.418121
43.062700 13.335200 48.004400 6.347000 303.136477
47.918400 19.894400 48.728694 16.590442 98.320977
50.818770 10.000980 43.426180 9.892010 298.077617
45.069500 5.806100 45.618300 10.524300 158.178183
44.055800 7.236600 45.618300 10.524300 129.066331
50.592270 11.472230 47.743667 15.077621 125.090034
44.480935 6.811695 42.935000 13.685700 208.845567
42.882500 0.022900 46.472230 9.347320 276.845652
43.491700 5.332500 44.918300 5.880000 61.776082
47.369210 8.580880 44.393300 6.502300 120.366926
49.616800 14.149400 50.061000 15.650200 36.769749
47.712170 8.252620 47.430070 13.761050 141.192906
44.955800 5.653060 49.590100 9.182400 191.175999
46.746900 5.319510 44.371200 5.147620 92.523014
50.156000 5.228000 47.679900 10.107100 151.224540
48.269100 -4.614700 49.219200 8.184800 310.783993
48.122990 13.306320 49.430300 17.291100 103.618900
47.384900 21.900700 48.306700 11.923300 270.074047
47.230884 8.012475 45.826000 15.456900 196.598997
44.835170 7.263330 48.441700 5.515230 138.133417
48.652545 7.783737 46.756569 15.825348 213.460732
50.095800 4.595000 45.875300 7.868500 176.096322
50.541000 7.076000 45.942700 5.074700 178.420175
46.056700 6.756110 43.096900 -0.049250 212.812364
49.766899 12.207000 43.610823 12.580583 267.634616
48.819900 14.309500 43.796700 11.789300 233.061950
45.646800 11.072100 46.495200 11.318500 31.635092
47.430070 13.761050 48.097900 12.083800 54.295984
45.646800 11.072100 50.690800 12.219640 187.877697
48.989350 8.492140 48.501900 11.453400 72.669822
42.953000 9.363000 49.086746 11.526272 257.381038
49.766899 12.207000 45.921860 9.041670 163.535193
45.880600 11.804700 47.030500 7.890400 107.723093
