# example dataset from synthetic model
# header line 2
# Periods: 5.0 25.0 
# lat1 lon1 lat2 lon2 ttime5s ttime25s
 48.712	  4.462	 47.675	  4.643	  31.37909	       nan
 48.712	  4.462	 45.545	  4.743	  95.67005	  94.51912
 48.712	  4.462	 48.142	  4.793	  18.36732	  25.68396
 48.712	  4.462	 44.466	  4.846	 128.10259	       nan
 48.712	  4.462	 45.579	  5.040	  96.09844	  95.98589
 48.712	  4.462	 45.658	  5.267	  94.15862	  91.55581
 48.712	  4.462	 47.396	  5.282	  43.61550	  43.88152
 48.712	  4.462	 47.212	  5.679	  53.12483	  54.17378
 48.712	  4.462	 48.171	  5.873	  33.89094	  34.04851
 48.712	  4.462	 47.168	  6.034	  59.14134	  58.76142
 48.712	  4.462	 46.423	  6.217	  79.20697	       nan
 48.712	  4.462	 44.426	  6.308	 134.18436	       nan
 48.712	  4.462	 44.395	  6.491	 138.20800	 138.34643
 48.712	  4.462	 44.678	  6.563	 128.11182	 130.75949
 48.712	  4.462	 45.329	  6.661	 112.45602	 113.82979
 48.712	  4.462	 48.234	  6.720	  49.87235	  51.10162
 48.712	  4.462	 47.062	  6.912	  73.88546	  74.00778
 48.712	  4.462	 48.355	  7.033	  55.07799	  55.23438
 48.712	  4.462	 48.532	  7.110	  49.93832	  54.78955
 48.712	  4.462	 45.028	  7.224	 127.35044	 118.21743
 48.712	  4.462	 44.846	  7.259	 131.88038	 132.98298
 48.712	  4.462	 46.850	  7.314	  84.47626	  82.52072
 48.712	  4.462	 48.661	  7.382	  58.13071	  57.50807
 48.712	  4.462	 44.750	  7.455	 137.46120	 136.68998
 48.712	  4.462	 46.494	  7.684	  98.12813	  98.25001
 48.712	  4.462	 48.284	  7.757	  69.39161	  70.12597
 48.712	  4.462	 45.047	  7.867	 134.70209	       nan
 48.712	  4.462	 44.471	  7.891	 149.40385	 149.79117
 48.712	  4.462	 45.895	  7.979	 115.25180	 113.35723
 48.712	  4.462	 47.973	  8.362	       nan	  84.02970
 48.712	  4.462	 46.369	  8.407	 109.54674	 110.27000
 48.712	  4.462	 46.373	  8.438	 110.20953	       nan
 48.712	  4.462	 48.427	  8.450	  81.07384	  79.64938
 48.712	  4.462	 48.211	  8.520	  84.37402	  84.24528
 48.712	  4.462	 47.303	  8.549	  95.52629	  94.48709
 48.712	  4.462	 45.822	  8.612	 125.10600	       nan
 48.712	  4.462	 44.838	  8.674	 150.81047	 148.06657
 48.712	  4.462	 47.463	  8.675	  96.79106	  95.98760
 48.712	  4.462	 45.646	  8.751	 129.46722	 129.80036
 48.712	  4.462	 47.346	  8.830	 101.59123	       nan
 48.712	  4.462	 44.953	  8.911	 148.68571	       nan
 48.712	  4.462	 45.538	  9.039	       nan	 139.43493
 48.712	  4.462	 48.762	  9.091	  91.43776	  91.58957
 48.712	  4.462	 46.013	  9.157	 129.82087	 125.53143
 48.712	  4.462	 48.140	  9.209	  97.75128	       nan
